PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
026vm,rnbq2kr/ppp1n3/3p3p/4P1p1/4Pp2/1QP5/PP4PP/RNB2RK1 b - - 1 11,g8h7 b3f7,843,80,100,130,mate mateIn1 oneMove opening,https://lichess.org/ok3jv9qy/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
03bV3,r1bqk2r/1pp1nppp/1pnp4/4p1N1/2B1PP2/8/PPPP2PP/R1BQK2R b KQkq - 1 8,e8g8 d1h5 h7h6 g5f7,1984,80,91,4323,advantage opening short,https://lichess.org/1gS2tOXt/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Classical_Variation
0542a,r1bq2nr/pppp1kpp/8/2b1N3/3nPp2/8/PPP3PP/RNBQK2R b KQ - 1 7,f7e6 d1g4 e6e5 c1f4,1998,78,93,9618,crushing opening sacrifice short,https://lichess.org/a3p2nQj1/black#14,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
05R2K,rn1qk2r/pp2nBbp/3p4/6p1/3P1pb1/5N2/PPP3PP/RNBQ1RK1 b kq - 0 9,e8f7 f3g5 f7g8 d1g4,1287,81,67,47,crushing discoveredAttack opening short,https://lichess.org/XAIV1B1U/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense
05ZFk,2kr1bnr/ppp2ppp/6q1/3BN3/3P1p2/7b/PPP3P1/RNBQR1K1 b - - 1 13,d8d5 e5g6,990,97,94,887,crushing oneMove opening,https://lichess.org/kfE0jGdp/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_MacLeod_Defense
06MjD,rnbq1bkr/ppp3pp/8/4p3/4np2/1QP5/PP1P2PP/RNB2RK1 b - - 1 9,c8e6 b3e6,542,94,71,222,hangingPiece kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/zPsndnpP/black#18,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense
06s2W,r2qkb1r/2p1nppp/p2p4/1p2N3/4P1b1/1B6/PPPP2PP/RNBQ1RK1 b kq - 0 9,g4d1 b3f7,1258,77,81,289,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/dlSLxgju/black#18,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
07Idf,r1bq1rk1/ppp1np1p/2nb2pQ/6N1/2B2p2/2NP4/PPP3PP/R1B2RK1 b - - 1 11,e7f5 h6h7,1136,83,94,106,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/W9xMhOor/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Modern_Defense
07rnG,r2qkb1r/pppbn1pp/2np1B2/3N4/2BPP3/5N2/PPP3PP/R2Q1K1R b kq - 0 11,g7f6 d5f6,929,90,87,386,mate mateIn1 oneMove opening,https://lichess.org/dWr9P6cc/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
08J1X,r1bqkb1r/ppp3pp/2n2n2/4PP2/3Pp3/2N5/PPP3PP/R1BQKB1R b KQkq - 0 8,f6d5 d1h5 g7g6 f5g6,1400,76,94,23757,crushing master opening short,https://lichess.org/uU5LKl0U/black#16,Kings_Gambit_Declined Kings_Gambit_Declined_Miles_Defense
